               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11685,             0.02193,            0.043172,           0.0033347,             0.26525,           0.0032451,          0.00085032,             0.10846,            0.017145,             0.03954,            0.070142,           0.0033176,           0.0033176
                   1,            0.099412,            0.026846,            0.036324,            0.085244,             0.19252,            0.075826,            0.027174,            0.091681,            0.017538,            0.034319,             0.04001,           0.0065193,           0.0065193
                   2,            0.086096,             0.02626,            0.034018,             0.19344,             0.12773,             0.12554,            0.052159,            0.085847,            0.017779,            0.033629,           0.0097461,           0.0095889,           0.0095889
                   3,            0.080624,            0.026557,            0.032458,             0.19427,             0.25345,             0.14216,             0.04715,            0.081678,            0.017754,            0.029946,            0.009406,            0.009406,            0.009406
                   4,            0.076404,            0.027014,            0.029838,             0.25155,             0.20681,             0.15898,            0.056905,            0.084918,            0.018667,            0.032308,            0.009406,            0.009406,            0.009406
                   5,            0.075571,            0.027025,            0.028904,             0.26417,             0.34623,             0.25512,            0.088818,            0.075546,            0.017242,            0.028787,            0.009208,            0.009208,            0.009208
                   6,            0.074315,            0.026919,            0.027026,             0.43705,             0.31884,             0.28964,             0.12353,            0.075027,            0.016774,            0.028345,             0.00901,             0.00901,             0.00901
                   7,            0.073278,            0.026838,            0.026422,              0.3353,             0.35119,             0.27553,             0.11115,            0.074439,            0.017113,            0.026775,            0.008812,            0.008812,            0.008812
                   8,            0.072078,               0.027,            0.024837,             0.40695,             0.34006,             0.31059,             0.13438,            0.072849,            0.017173,            0.028358,            0.008614,            0.008614,            0.008614
                   9,            0.072128,            0.027328,            0.024344,             0.35919,                 0.3,             0.29991,             0.14618,             0.07253,             0.01688,            0.027256,            0.008416,            0.008416,            0.008416
                  10,            0.070218,            0.026651,            0.024088,             0.44522,             0.37681,             0.34647,             0.14681,            0.071361,            0.016898,            0.023863,            0.008218,            0.008218,            0.008218
                  11,            0.070248,            0.026974,            0.022794,             0.48549,             0.36206,             0.35799,             0.16291,            0.070831,            0.016938,            0.026463,             0.00802,             0.00802,             0.00802
                  12,            0.069683,            0.027084,            0.022669,             0.47153,             0.35213,             0.33859,             0.16354,            0.071541,            0.016924,            0.031424,            0.007822,            0.007822,            0.007822
                  13,            0.069627,            0.027228,            0.021157,             0.43053,             0.41825,             0.37638,             0.18702,            0.069953,            0.016901,            0.027694,            0.007624,            0.007624,            0.007624
                  14,            0.068849,            0.026429,            0.020397,             0.42859,             0.39482,             0.37019,             0.18268,            0.068874,            0.016403,            0.026566,            0.007426,            0.007426,            0.007426
                  15,            0.068581,            0.027365,            0.020642,             0.42555,              0.3675,             0.34981,             0.16263,            0.069428,            0.016708,             0.02629,            0.007228,            0.007228,            0.007228
                  16,            0.067696,            0.026833,            0.019949,             0.42002,             0.37137,             0.35325,             0.15003,            0.070204,            0.016691,            0.026135,             0.00703,             0.00703,             0.00703
                  17,            0.067418,            0.026449,            0.020141,             0.41524,             0.39368,             0.33108,             0.14334,            0.070343,            0.017477,            0.024246,            0.006832,            0.006832,            0.006832
